plateforme;identifiant;url_actuelle;titre_vimeo;duree;etat;deja_dans_sanity;nb_usages;ou_elle_est_utilisee;URL_LIVID;fait
vimeo;413621353;https://vimeo.com/413621353;"bluevista creative | ""La Pizza""";0:41;public;oui;3;en:/actualites/bluevista-creative-la-pizza/ | fr:/actualites/bluevista-creative-la-pizza/ | fr:/realisations/bluevista-creative-video-la-pizza/;;
vimeo;128566240;https://vimeo.com/128566240;Les aventures de Toky - Bocuse d'Or;1:03;public;oui;3;fr:/realisations/toky-video-mapping-3d/ | fr:/realisations/videomapping-les-aventures-de-toky-animation-3d/ | fr:/realisations/wallmapping-les-mesaventures-de-toky-animation-3d/;;
vimeo;249080210;https://vimeo.com/249080210;NAVYA - Show Lancement;2:38;public;oui;4;ch:/realisation-film-automotive/ | en:/film-production-automotive/ | fr:/realisation-film-automotive/ | fr:/realisations/tetro-film-presentation-vehicule-navya/;;
vimeo;129528886;https://vimeo.com/129528886;EIFFAGE ENERGIE - EXPERCITÉ;1:21;public;oui;4;ch:/realisation-film-construction-immobiliere/ | en:/film-production-real-estate-construction/ | fr:/realisation-film-construction-immobiliere/ | fr:/realisations/eiffage-energie-expercite-video-3d-timelapse/;;
vimeo;246398386;https://vimeo.com/246398386;ARROW - AboxMemo;1:10;public;oui;4;ch:/realisation-film-sante/ | en:/film-production-health/ | fr:/realisation-film-sante/ | fr:/realisations/arrow-abox-memo-animation-3d/;;
vimeo;273315064;https://vimeo.com/273315064;ABB - SNK Solaire version UK;1:51;public;oui;4;ch:/studio-danimation-3d-a-geneve/ | en:/3d-animation-studio-in-lyon/ | fr:/realisations/abb-snk-animation-3d-produit-solaire/ | fr:/studio-animation-3d-lyon/;;
vimeo;526878364;https://vimeo.com/526878364;EHS - Thermostat Illigo;3:04;public;oui;4;ch:/nos-competences/motion-design/ | en:/our-skills/motion-design/ | fr:/nos-competences/motion-design/ | fr:/realisations/engie-home-services-video-tuto-thermostat-migo/;;
vimeo;875627824;https://vimeo.com/875627824;KOESIO - Carte de voeux 2023;2:39;public;oui;4;ch:/actualites/koesio-carte-de-voeux-2023/ | en:/actualites/koesio-greeting-card-2023/ | fr:/actualites/koesio-carte-de-voeux-2023/ | fr:/realisations/koesio-carte-de-v-ux-video-2023/;;
vimeo;307702034;https://vimeo.com/307702034;Waygoo - motion design;1:49;public;oui;4;ch:/actualites/motion-design-pedagogique/ | en:/actualites/educational-motion-design/ | fr:/actualites/motion-design-pedagogique/ | fr:/realisations/waygoo-motion-design/;;
vimeo;276247419;https://vimeo.com/276247419;CISCO - 5G;1:52;public;oui;4;ch:/actualites/motion-design-pedagogique/ | en:/actualites/educational-motion-design/ | fr:/actualites/motion-design-pedagogique/ | fr:/realisations/cisco-5g-motion-design-3d/;;
vimeo;276255160;https://vimeo.com/276255160;;;public;oui;4;ch:/actualites/nos-dernieres-interviews/ | en:/actualites/our-latest-interviews/ | fr:/actualites/nos-dernieres-interviews/ | fr:/realisations/naos-interview-video-collaborateur/;;
vimeo;301829836;https://vimeo.com/301829836;SANTOS : Moulin à café;1:45;public;oui;4;ch:/actualites/film-de-presentation-produit/ | en:/actualites/product-presentation-film/ | fr:/actualites/film-de-presentation-produit/ | fr:/realisations/santos-film-produit/;;
vimeo;126716617;https://vimeo.com/126716617;RISO ComColor - video demo;1:40;public;oui;4;ch:/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/ | en:/actualites/production-of-3-in-studio-clips-for-riso/ | fr:/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/ | fr:/realisations/riso-comcolor-video-produit/;;
