site;type;adresse;titre;modifie_le;mots_ancien;clics_12m;impressions_12m;position;existe_dans_sanity;genre;nb_paragraphes;nb_sections;videos;titre_seo;description_seo;image;redirection_proposee;texte_reecrit;canonique;donnees_structurees;verifie_au_rendu;note
en;page;/advertising-video/;Advertising Video;2024-01-21;306;1;160;9.7;non;;;;;;;;/;;;;;
en;page;/our-skills/aftermovie-event-capture/;Aftermovie / Event capture;2023-12-07;313;1;150;28.9;non;;;;;;;;/;;;;;
fr;réalisation;/nos-realisations/deko-film-de-presentation/;Deko Film de présentation;2024-01-21;170;1;144;12.8;oui;réalisation;;;oui;non;non;oui;/realisations/deko-film-de-presentation/;;;;;
fr;réalisation;/nos-realisations/arrow-abox-memo/;ARROW – Abox Memo;2024-01-21;41;1;130;13.3;non;;;;;;;;/realisations/arrow-abox-memo-animation-3d/;;;;;
en;actualité;/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/;Inauguration InterContinental Lyon – Grand Hôtel-Dieu;2023-12-07;154;1;128;9.5;non;;;;;;;;/realisations/tetro-grand-hotel-dieu-video-event/;;;;;
fr;actualité;/actualites/vercors-les-chemins-de-la-liberte/;VERCORS : LES CHEMINS DE LA LIBERTE;2024-01-21;328;1;123;14.9;non;;;;;;;;/realisations/pnr-vercors-les-chemins-de-la-liberte-la-cabane-des-carteaux/;;;;;
fr;page;/realisation-film-industrie/;Réalisation de film – Industrie;2024-01-21;477;1;120;12.3;non;;;;;;;;/;;;;;
en;page;/our-skills/3d-animation/;3D animation;2024-02-02;447;1;112;14.7;non;;;;;;;;/;;;;;
en;réalisation;/nos-realisations/engie-home-services-migo-thermostat-video/;ENGIE HOME SERVICES – MiGo Thermostat video;2024-01-28;133;1;109;13.5;non;;;;;;;;/realisations/engie-home-services-video-tuto-thermostat-migo/;;;;;
en;actualité;/actualites/the-bluevista-metaverse-the-blueverse/;The bluevista Metaverse: the blueverse;2024-01-15;462;1;104;6.8;non;;;;;;;;/realisations/blueverse/;;;;;
fr;actualité;/actualites/bluevista-video-showreel-2021/;Bluevista vidéo Showreel 2021;2024-01-21;196;1;99;3.2;non;;;;;;;;/realisations/bluevista-showreel-video-2021/;;;;;
fr;réalisation;/nos-realisations/mapping-audi/;Mapping Audi;2024-01-21;167;1;98;12.8;non;;;;;;;;/realisations/video-mapping-vehicule-audi-a8/;;;;;
fr;réalisation;/nos-realisations/hitachi-yutaki/;Hitachi – Yutaki;2024-01-21;98;1;85;17.5;non;;;;;;;;/realisations/hitachi-yutaki-video-produit-3d/;;;;;
en;page;/contact-quotation/;Contact & Quotation;2025-09-05;123;1;85;7.4;non;;;;;;;;/;;;;;
ch;page;/nos-competences/creation-immersive-realite-virtuelle/;Création immersive / Réalité virtuelle;2024-03-25;804;1;69;64.8;oui;savoir-faire;3;4;3;oui;oui;non;/savoir-faire/creation-immersive-realite-virtuelle/;;;;;
fr;réalisation;/nos-realisations/elistair-orion/;Elistair – Orion;2024-01-21;129;1;68;8.5;non;;;;;;;;/realisations/elistair-orion-video-produit-animation-3d/;;;;;
fr;actualité;/actualites/santos-i-grind/;SANTOS I-GRIND : Le Moulin à Café;2024-01-21;418;1;62;20.6;non;;;;;;;;/realisations/santos-i-grind-coffee-grinder-teaser/;;;;;
fr;page;/realisation-film-territoires/;Réalisation de film – Territoires;2024-01-21;198;1;51;12.8;non;;;;;;;;/;;;;;
en;réalisation;/nos-realisations/eiffage-energie-expercite/;EIFFAGE Energie – Expercité;2024-01-28;175;1;51;9.9;non;;;;;;;;/realisations/eiffage-energie-expercite-video-3d-timelapse/;;;;;
en;actualité;/actualites/getlive-tv-3-0-wbe-tv-according-to-bluevista/;GETLIVE TV 3.0 – wbe TV according to Bluevista;2024-01-21;94;1;45;6.7;non;;;;;;;;/realisations/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;;;;;
fr;réalisation;/nos-realisations/gloupii/;Gloupii;2024-01-21;196;1;28;10.0;non;;;;;;;;/realisations/gloupii-motion-design/;;;;;
fr;réalisation;/nos-realisations/40-ans-siparex/;40 ans Siparex;2024-01-21;165;1;25;4.8;non;;;;;;;;/realisations/40-ans-siparex-videomapping/;;;;;
fr;réalisation;/nos-realisations/hitachi-film-catalogue-2021/;HITACHI – Film Catalogue 2021;2024-01-21;59;1;24;5.8;oui;réalisation;;;oui;non;non;oui;/realisations/hitachi-film-catalogue-2021/;;;;;
en;actualité;/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;Video mapping Lyon – InterContinental Grand Hôtel Dieu;2023-12-07;200;1;23;7.0;non;;;;;;;;/realisations/tetro-grand-hotel-dieu-video-event/;;;;;
fr;actualité;/actualites/blueverse/;Le Métaverse bluevista : le blueverse;2024-01-21;512;1;18;10.1;non;;;;;;;;/realisations/blueverse/;;;;;
fr;réalisation;/nos-realisations/koesio-voeux-2024/;Koesio – Vœux 2024;2024-01-21;54;1;15;6.8;non;;;;;;;;/realisations/koesio-convention-2024/;;;;;
fr;réalisation;/nos-realisations/tetro-fete-des-lumieres-2021/;TETRO – Fête Des Lumières 2021;2024-01-21;73;1;14;4.4;non;;;;;;;;/realisations/tetro-video-fete-des-lumieres-lyon-2021/;;;;;
fr;réalisation;/nos-realisations/tetro-stalactite-light-show/;TETRO – Stalactite Light Show;2024-01-21;102;1;14;4.8;non;;;;;;;;/realisations/tetro-stalactite-light-show-video/;;;;;
fr;réalisation;/nos-realisations/isara-interviews-detudiants/;ISARA – Interviews d’étudiants;2025-03-25;101;1;11;9.3;non;;;;;;;;/realisations/isara-interviews-d-etudiants/;;;;;
fr;réalisation;/nos-realisations/icsi-briefing-debriefing-minute-darret/;ICSI – BRIEFING / DEBRIEFING / MINUTE D’ARRET;2024-02-28;82;1;10;21.1;non;;;;;;;;/realisations/icsi-briefing-debriefing-minute-d-arret/;;;;;
en;réalisation;/nos-realisations/riso-comcolor/;Riso Comcolor;2024-01-28;161;1;9;16.4;non;;;;;;;;/realisations/riso-comcolor-video-produit/;;;;;
fr;réalisation;/nos-realisations/bos/;BOS;2024-01-21;153;1;8;4.4;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;réalisation;/nos-realisations/spc/;SPC;2024-01-21;161;1;8;4.5;non;;;;;;;;⚠️ À RATTACHER À LA MAIN;;;;;
fr;réalisation;/nos-realisations/araymond-share/;Araymond – ShARe;2024-01-21;53;1;7;43.1;non;;;;;;;;/realisations/araymond-share-motion-design-site-internet/;;;;;
