date,clics,impressions,ctr,position
2026-06-10,0,358,0,37.5
2026-06-16,0,355,0,42.9
2025-09-07,0,344,0,26.3
2025-06-12,0,313,0,25.5
2026-07-22,0,313,0,36.4
2026-07-29,0,311,0,43.5
2025-05-08,0,300,0,28.4
2026-07-14,0,298,0,44.3
2025-09-10,0,293,0,27.4
2025-06-14,0,288,0,25.1
2026-06-15,0,284,0,35.7
2025-05-25,0,279,0,30.4
2026-07-15,0,277,0,37.4
2025-06-20,0,275,0,23
2026-06-02,0,270,0,41.2
2025-07-01,0,266,0,29.2
2026-07-09,0,258,0,42.3
2025-09-08,0,254,0,24
2025-06-21,0,247,0,22.7
2026-07-31,0,245,0,42.8
2025-05-21,0,242,0,29.1
2025-05-24,0,241,0,28.4
2026-06-27,0,240,0,43.9
2025-05-16,0,239,0,33.2
2025-07-12,0,238,0,34.2
2025-08-22,0,237,0,19.8
2026-07-13,0,234,0,41.1
2026-07-26,0,234,0,39.9
2025-08-18,0,232,0,22
2025-07-04,0,230,0,34
2025-07-09,0,230,0,27.3
2026-07-25,0,230,0,39.7
2025-05-10,0,228,0,33.4
2025-10-22,0,226,0,13.1
2026-07-19,0,226,0,36.2
2026-06-26,0,223,0,41.3
2026-04-14,0,222,0,23.9
2026-05-31,0,220,0,20.5
2026-06-14,0,220,0,40.1
2026-06-21,0,220,0,36.4
2025-05-20,0,218,0,31.5
2025-06-28,0,217,0,32.9
2025-07-15,0,217,0,28.7
2026-06-09,0,217,0,34.3
2025-07-05,0,211,0,35
2026-08-13,0,209,0,43.8
2026-06-18,0,208,0,36.7
2026-08-15,0,208,0,44.8
2025-05-17,0,206,0,33.1
2025-05-18,0,204,0,35
2026-06-13,0,204,0,37.4
2026-08-02,0,203,0,42.8
2026-08-17,0,203,0,45.1
2025-07-06,0,198,0,33.4
2026-04-18,0,194,0,22.7
2025-08-19,0,191,0,27.5
2026-08-10,0,191,0,41.8
2026-04-19,0,190,0,23.7
2026-05-29,0,190,0,24
2025-08-15,0,189,0,24.2
2025-10-03,0,189,0,12.7
2026-06-20,0,189,0,40.5
2025-12-09,0,188,0,17.2
2026-01-07,0,188,0,25.1
2026-05-16,0,186,0,26.5
2026-06-03,0,186,0,34.8
2025-10-21,0,184,0,12
2026-05-17,0,184,0,32.3
2025-07-20,0,183,0,29.8
2025-08-24,0,182,0,22.8
2025-11-11,0,181,0,11.5
2026-01-13,0,180,0,17
2025-08-07,0,178,0,23.4
2026-05-12,0,177,0,26.5
2025-07-30,0,175,0,23.8
2026-02-06,0,173,0,22.1
2026-01-06,0,171,0,15.9
2026-01-17,0,171,0,18.8
2026-05-02,0,171,0,21
2025-07-19,0,170,0,25.2
2026-01-08,0,170,0,17.6
2026-04-17,0,169,0,25.8
2025-11-04,0,168,0,10.6
2026-05-20,0,168,0,33
2026-06-06,0,168,0,39.5
2025-10-11,0,167,0,13.6
2025-07-25,0,165,0,26
2025-12-26,0,165,0,15.2
2025-11-02,0,164,0,10
2025-07-27,0,163,0,27.4
2026-01-03,0,163,0,17.4
2026-04-12,0,161,0,23.1
2026-05-10,0,161,0,27.1
2025-10-18,0,160,0,13
2025-11-06,0,159,0,10.2
2026-05-25,0,159,0,34.4
2026-08-07,0,159,0,44.2
2026-04-09,0,158,0,26.4
2026-08-09,0,156,0,42.1
2025-07-26,0,155,0,28.3
2025-09-28,0,155,0,13.6
2025-12-31,0,155,0,15.9
2026-01-10,0,154,0,17.3
2026-08-06,0,154,0,38.8
2025-12-25,0,153,0,16.2
2026-01-18,0,151,0,20.7
2026-04-06,0,151,0,22.4
2025-12-28,0,150,0,15.7
2026-05-01,0,150,0,24
2025-12-21,0,149,0,19.8
2026-04-25,0,149,0,23
2025-09-21,0,147,0,16.6
2025-12-14,0,145,0,17.5
2025-08-04,0,144,0,28.2
2025-11-25,0,144,0,11.7
2025-08-17,0,143,0,21.8
2025-09-27,0,143,0,15.4
2025-11-23,0,142,0,11.4
2025-11-28,0,142,0,10.8
2025-12-24,0,138,0,16.9
2025-12-05,0,136,0,12.4
2025-12-23,0,136,0,19.8
