page,clics,impressions,ctr,position
https://www.bluevistaprod.com/actualites/category/interview/,0,9,0,28.8
https://www.bluevistaprod.com/actualites/category/motion_design/,0,34,0,47.2
https://www.bluevistaprod.com/actualites/category/motion_design/page/2/,0,1,0,9
https://www.bluevistaprod.com/actualites/category/motion_design/page/3/,0,2,0,4.5
https://www.bluevistaprod.com/actualites/category/publicite/,0,6,0,52.2
https://www.bluevistaprod.com/actualites/category/tournage-studio/,0,56,0,55
https://www.bluevistaprod.com/actualites/category/tournage-studio/page/2/,0,19,0,19.8
https://www.bluevistaprod.com/actualites/category/video-360-vr/,0,407,0,37.3
https://www.bluevistaprod.com/actualites/category/video-panoramique/,0,17,0,41.2
https://www.bluevistaprod.com/actualites/clip-corporate-bos-equipement/,0,6,0,11.8
https://www.bluevistaprod.com/actualites/decouvrez-notre-nouvelle-bande-demo-3d/,0,30,0,47.6
https://www.bluevistaprod.com/actualites/equita-lyon-2019-daily-news/,0,2,0,23.5
https://www.bluevistaprod.com/actualites/equita-lyon-dailynews/,0,78,0,56.1
https://www.bluevistaprod.com/actualites/film-de-presentation-produit/,0,4,0,8
https://www.bluevistaprod.com/actualites/film-dentreprise-video-15-ans-dexperience/,0,1,0,10
https://www.bluevistaprod.com/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/,0,43,0,8.2
https://www.bluevistaprod.com/actualites/la-realite-virtuelle-oculus-a-bluevista/,0,21,0,35
https://www.bluevistaprod.com/actualites/live-video-homeserve-20ans/,0,53,0,30
https://www.bluevistaprod.com/actualites/mecenat-club-lyon-la-duchere/,0,3,0,8.7
https://www.bluevistaprod.com/actualites/motion-design-pedagogique/,0,1,0,7
https://www.bluevistaprod.com/actualites/nouveau-materiel-motion-control-kessler/,0,24,0,9.2
https://www.bluevistaprod.com/actualites/peninsula-octobre-rose/,0,126,0,17.3
https://www.bluevistaprod.com/actualites/projection-semi-transparente-immersive-pour-linauguration-dun-batiment/,0,3,0,21.7
https://www.bluevistaprod.com/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/,0,5,0,11.6
https://www.bluevistaprod.com/actualites/realisation-de-film-dentreprise-ou-corporate/,0,20,0,19.4
https://www.bluevistaprod.com/actualites/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/,0,10,0,5.6
https://www.bluevistaprod.com/actualites/show-reel-motion-design/,0,326,0,33.8
https://www.bluevistaprod.com/actualites/show-reel-videos-drone/,0,23,0,82.1
https://www.bluevistaprod.com/actualites/stann/,0,8816,0,7.1
https://www.bluevistaprod.com/actualites/streaming-live-et-webtv-demo-2018/,0,31,0,19.8
https://www.bluevistaprod.com/actualites/tag/after-movie/,0,18,0,51.8
https://www.bluevistaprod.com/actualites/tag/borne-interactive/,0,1,0,13
https://www.bluevistaprod.com/actualites/tag/construction/,0,1,0,10
https://www.bluevistaprod.com/actualites/tag/event/,0,2,0,6
https://www.bluevistaprod.com/actualites/tag/event/feed/,0,11,0,44.3
https://www.bluevistaprod.com/actualites/tag/salon/,0,76,0,64.1
https://www.bluevistaprod.com/actualites/tag/services/,0,10,0,38.6
https://www.bluevistaprod.com/actualites/tournage-en-studio-film-produit-santos/,0,3,0,4.7
https://www.bluevistaprod.com/actualites/un-motion-design-a-lancienne-making-of/,0,16,0,22.3
https://www.bluevistaprod.com/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/,0,3,0,8.7
https://www.bluevistaprod.com/film-corporate-lyon-depuis-2004/,0,179,0,43.3
https://www.bluevistaprod.com/film-entreprise-lyon-15-ans-experience/,0,232,0,43.8
https://www.bluevistaprod.com/nos-competences/,0,315,0,10.7
https://www.bluevistaprod.com/nos-realisations/30-ans-bocuse-dor-tamas-szell/,0,12,0,3.8
https://www.bluevistaprod.com/nos-realisations/abb-af-contactor/,0,9,0,18.8
https://www.bluevistaprod.com/nos-realisations/abb-snk-3d-industrie/,0,19,0,17.4
https://www.bluevistaprod.com/nos-realisations/abb-snk-3d-marine/,0,58,0,30.7
https://www.bluevistaprod.com/nos-realisations/abb-snk-3d-solaire/,0,86,0,27.4
https://www.bluevistaprod.com/nos-realisations/alorem/,0,61,0,7.8
https://www.bluevistaprod.com/nos-realisations/amplitude-voeux-2018/,0,3,0,13
https://www.bluevistaprod.com/nos-realisations/amplitude-voeux-2024/,0,26,0,47.2
https://www.bluevistaprod.com/nos-realisations/aravi-saison-2022-2023/,0,26,0,12
https://www.bluevistaprod.com/nos-realisations/aravi-saison-2024/,0,31,0,20.8
https://www.bluevistaprod.com/nos-realisations/assisqual/,0,92,0,7.8
https://www.bluevistaprod.com/nos-realisations/bbgr-360/,0,89,0,34.8
https://www.bluevistaprod.com/nos-realisations/bluevista-creative-un-monde-virtuel-1-la-moto/,0,206,0,16.8
https://www.bluevistaprod.com/nos-realisations/bluevista-creative-une-vraie-equipe-1-la-flexibilite/,0,99,0,11.2
